Statistic,Year,Age_Group,Sex,Education_Level,Region,UNIT,Employment_Rate
Annual employment rate,2020,30 - 34 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,63.4
Annual employment rate,2020,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,58.3
Annual employment rate,2020,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,77.3
Annual employment rate,2020,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,84.9
Annual employment rate,2020,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,83.2
Annual employment rate,2020,30 - 34 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,90.2
Annual employment rate,2020,30 - 34 years,Male,Tertiary education (Levels 5-8),Southern,%,92.0
Annual employment rate,2020,30 - 34 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,92.8
Annual employment rate,2020,30 - 34 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,30 - 34 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,30 - 34 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2020,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,38.4
Annual employment rate,2020,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,57.4
Annual employment rate,2020,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,50.4
Annual employment rate,2020,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,55.5
Annual employment rate,2020,30 - 34 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,79.4
Annual employment rate,2020,30 - 34 years,Female,Tertiary education (Levels 5-8),Southern,%,85.1
Annual employment rate,2020,30 - 34 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,81.8
Annual employment rate,2020,35 - 39 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,35 - 39 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,35 - 39 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,59.8
Annual employment rate,2020,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,67.3
Annual employment rate,2020,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,81.1
Annual employment rate,2020,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,85.6
Annual employment rate,2020,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,88.4
Annual employment rate,2020,35 - 39 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,90.4
Annual employment rate,2020,35 - 39 years,Male,Tertiary education (Levels 5-8),Southern,%,91.9
Annual employment rate,2020,35 - 39 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,92.4
Annual employment rate,2020,35 - 39 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,35 - 39 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,35 - 39 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,37.4
Annual employment rate,2020,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,28.7
Annual employment rate,2020,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,67.4
Annual employment rate,2020,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,56.7
Annual employment rate,2020,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,56.1
Annual employment rate,2020,35 - 39 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,80.3
Annual employment rate,2020,35 - 39 years,Female,Tertiary education (Levels 5-8),Southern,%,81.9
Annual employment rate,2020,35 - 39 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,82.1
Annual employment rate,2020,40 - 44 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,40 - 44 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,40 - 44 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,74.8
Annual employment rate,2020,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,68.7
Annual employment rate,2020,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,57.3
Annual employment rate,2020,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,86.4
Annual employment rate,2020,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,89.1
Annual employment rate,2020,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,84.8
Annual employment rate,2020,40 - 44 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,93.5
Annual employment rate,2020,40 - 44 years,Male,Tertiary education (Levels 5-8),Southern,%,91.1
Annual employment rate,2020,40 - 44 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,92.8
Annual employment rate,2020,40 - 44 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,40 - 44 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,40 - 44 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,33.6
Annual employment rate,2020,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,42.5
Annual employment rate,2020,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,55.1
Annual employment rate,2020,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,61.1
Annual employment rate,2020,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,66.0
Annual employment rate,2020,40 - 44 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,81.4
Annual employment rate,2020,40 - 44 years,Female,Tertiary education (Levels 5-8),Southern,%,78.5
Annual employment rate,2020,40 - 44 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,81.3
Annual employment rate,2020,45 - 49 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,45 - 49 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,45 - 49 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,73.6
Annual employment rate,2020,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,73.0
Annual employment rate,2020,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,64.5
Annual employment rate,2020,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,88.4
Annual employment rate,2020,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,85.8
Annual employment rate,2020,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,87.5
Annual employment rate,2020,45 - 49 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,93.3
Annual employment rate,2020,45 - 49 years,Male,Tertiary education (Levels 5-8),Southern,%,94.4
Annual employment rate,2020,45 - 49 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,92.4
Annual employment rate,2020,45 - 49 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,45 - 49 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,45 - 49 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,41.9
Annual employment rate,2020,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,46.4
Annual employment rate,2020,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,68.1
Annual employment rate,2020,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,61.3
Annual employment rate,2020,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,66.1
Annual employment rate,2020,45 - 49 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,83.2
Annual employment rate,2020,45 - 49 years,Female,Tertiary education (Levels 5-8),Southern,%,83.2
Annual employment rate,2020,45 - 49 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,78.3
Annual employment rate,2020,50 - 54 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,50 - 54 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,50 - 54 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,71.4
Annual employment rate,2020,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,69.2
Annual employment rate,2020,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,69.1
Annual employment rate,2020,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,89.3
Annual employment rate,2020,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,78.9
Annual employment rate,2020,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,82.0
Annual employment rate,2020,50 - 54 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,87.2
Annual employment rate,2020,50 - 54 years,Male,Tertiary education (Levels 5-8),Southern,%,90.9
Annual employment rate,2020,50 - 54 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,89.3
Annual employment rate,2020,50 - 54 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,50 - 54 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,50 - 54 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,39.3
Annual employment rate,2020,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,30.9
Annual employment rate,2020,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,44.6
Annual employment rate,2020,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,64.9
Annual employment rate,2020,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,63.4
Annual employment rate,2020,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.1
Annual employment rate,2020,50 - 54 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,88.9
Annual employment rate,2020,50 - 54 years,Female,Tertiary education (Levels 5-8),Southern,%,84.4
Annual employment rate,2020,50 - 54 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,78.3
Annual employment rate,2020,55 - 59 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,55 - 59 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,55 - 59 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,69.5
Annual employment rate,2020,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,63.5
Annual employment rate,2020,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,67.9
Annual employment rate,2020,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,74.1
Annual employment rate,2020,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,74.5
Annual employment rate,2020,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,74.8
Annual employment rate,2020,55 - 59 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,83.4
Annual employment rate,2020,55 - 59 years,Male,Tertiary education (Levels 5-8),Southern,%,81.0
Annual employment rate,2020,55 - 59 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,84.3
Annual employment rate,2020,55 - 59 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,55 - 59 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,55 - 59 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,39.4
Annual employment rate,2020,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,34.5
Annual employment rate,2020,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,39.5
Annual employment rate,2020,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,61.0
Annual employment rate,2020,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,57.3
Annual employment rate,2020,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,67.0
Annual employment rate,2020,55 - 59 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,64.4
Annual employment rate,2020,55 - 59 years,Female,Tertiary education (Levels 5-8),Southern,%,74.9
Annual employment rate,2020,55 - 59 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,78.5
Annual employment rate,2020,60 - 64 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,60 - 64 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,60 - 64 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,64.0
Annual employment rate,2020,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,48.5
Annual employment rate,2020,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,54.3
Annual employment rate,2020,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,70.9
Annual employment rate,2020,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.2
Annual employment rate,2020,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,62.5
Annual employment rate,2020,60 - 64 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,68.8
Annual employment rate,2020,60 - 64 years,Male,Tertiary education (Levels 5-8),Southern,%,62.2
Annual employment rate,2020,60 - 64 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,68.0
Annual employment rate,2020,60 - 64 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,60 - 64 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,60 - 64 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,30.6
Annual employment rate,2020,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,24.3
Annual employment rate,2020,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,30.8
Annual employment rate,2020,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,47.4
Annual employment rate,2020,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,47.8
Annual employment rate,2020,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,43.6
Annual employment rate,2020,60 - 64 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,52.1
Annual employment rate,2020,60 - 64 years,Female,Tertiary education (Levels 5-8),Southern,%,52.1
Annual employment rate,2020,60 - 64 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,53.6
Annual employment rate,2021,20 - 24 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,20 - 24 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,20 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,70.8
Annual employment rate,2021,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.8
Annual employment rate,2021,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,61.0
Annual employment rate,2021,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2021,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,%,63.9
Annual employment rate,2021,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,75.3
Annual employment rate,2021,20 - 24 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,20 - 24 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,20 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2021,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,57.1
Annual employment rate,2021,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,54.5
Annual employment rate,2021,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2021,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,%,72.2
Annual employment rate,2021,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,81.9
Annual employment rate,2021,25 - 29 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,25 - 29 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,25 - 29 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2021,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,75.3
Annual employment rate,2021,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,69.2
Annual employment rate,2021,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2021,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,%,95.8
Annual employment rate,2021,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,90.8
Annual employment rate,2021,25 - 29 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,25 - 29 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,25 - 29 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2021,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,
Annual employment rate,2021,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,
Annual employment rate,2021,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2021,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,%,82.0
Annual employment rate,2021,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,91.4
Annual employment rate,2021,30 - 34 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,30 - 34 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,30 - 34 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2021,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,80.3
Annual employment rate,2021,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,78.7
Annual employment rate,2021,30 - 34 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,100.0
Annual employment rate,2021,30 - 34 years,Male,Tertiary education (Levels 5-8),Southern,%,91.0
Annual employment rate,2021,30 - 34 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,87.7
Annual employment rate,2021,30 - 34 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,30 - 34 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,30 - 34 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2021,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,
Annual employment rate,2021,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.1
Annual employment rate,2021,30 - 34 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,89.0
Annual employment rate,2021,30 - 34 years,Female,Tertiary education (Levels 5-8),Southern,%,84.8
Annual employment rate,2021,30 - 34 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,84.9
Annual employment rate,2021,35 - 39 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,35 - 39 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,35 - 39 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2021,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,81.2
Annual employment rate,2021,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,86.8
Annual employment rate,2021,35 - 39 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,94.3
Annual employment rate,2021,35 - 39 years,Male,Tertiary education (Levels 5-8),Southern,%,93.3
Annual employment rate,2021,35 - 39 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,93.6
Annual employment rate,2021,35 - 39 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,35 - 39 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,35 - 39 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2021,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,62.4
Annual employment rate,2021,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,59.7
Annual employment rate,2021,35 - 39 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,81.3
Annual employment rate,2021,35 - 39 years,Female,Tertiary education (Levels 5-8),Southern,%,83.2
Annual employment rate,2021,35 - 39 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,84.7
Annual employment rate,2021,40 - 44 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,40 - 44 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,40 - 44 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
